Date,Close,High,Low,Open,Volume
21/06/2022,14827.7002,14840,14774.7002,14827.7002,0
22/06/2022,14831.7002,14883.7002,14775.2002,14831.7002,0
23/06/2022,14843,14872,14790.7002,14843,0
24/06/2022,14841.7998,14861.59961,14815.5,14841.7998,0
27/06/2022,14841,14841,14779.59961,14841,0
28/06/2022,14791,14853.5,14783.7002,14791,0
29/06/2022,14857,14876.7998,14823.40039,14857,0
30/06/2022,14877,14984,14842,14877,0
01/07/2022,14921.90039,15019.7998,14891,14921.90039,0
04/07/2022,14931,15009.5,14925.7002,14931,0
05/07/2022,15008,15058.59961,14885.2002,15008,0
06/07/2022,15037,15044.5,14990,15037,0
07/07/2022,15010,15014.2002,14938,15010,0
08/07/2022,14964.59961,15003.7998,14941.2998,14964.59961,0
11/07/2022,14970,15019.40039,14939.7002,14970,0
12/07/2022,14989.09961,15025.7002,14948.7002,14989.09961,0
13/07/2022,15010,15060.5,14957.2002,15010,0
14/07/2022,15030.40039,15100.2002,14981,15030.40039,0
15/07/2022,15037.09961,15121,14962,15037.09961,0
18/07/2022,14986,15007.2002,14924,14986,0
19/07/2022,14977,15023,14911.07031,14977,0
20/07/2022,14960.7998,15029,14953.90039,14960.7998,0
21/07/2022,15022,15064.7998,14960.7002,15022,0
22/07/2022,15004.2002,15066,14944,15004.2002,0
25/07/2022,15011,15011,14943.5,15011,0
26/07/2022,14978,15019.40039,14946.2998,14978,0
27/07/2022,14982.7998,15026.2998,14953.2998,14982.7998,0
28/07/2022,14914.2002,14968,14877.2998,14914.2002,0
29/07/2022,14849.09961,14887.5,14822.5,14849.09961,0
01/08/2022,14826,14886.90039,14819.7002,14826,0
02/08/2022,14838,14912.7998,14837,14838,0
03/08/2022,14890.09961,14916,14860.7002,14890.09961,0
04/08/2022,14900,14950.2002,14878.7998,14900,0
05/08/2022,14884.7002,14977,14872.5,14884.7002,0
08/08/2022,14886,14938,14818.2002,14886,0
09/08/2022,14831.2002,14871.2002,14821.2002,14831.2002,0
10/08/2022,14856.7002,14882.5,14777.2002,14856.7002,0
11/08/2022,14756.90039,14813.7002,14656.59961,14756.90039,0
12/08/2022,14724.2002,14761,14648.5,14724.2002,0
15/08/2022,14661,14776.5,14656.5,14661,0
16/08/2022,14776.40039,14791.5,14747,14776.40039,0
17/08/2022,14747.09961,14789.7002,14721.90039,14747.09961,0
18/08/2022,14764.09961,14852.2998,14754.5,14764.09961,0
19/08/2022,14845.7002,14909.09961,14819.2002,14845.7002,0
22/08/2022,14831,14944.09961,14831,14831,0
23/08/2022,14933.5,14935,14821,14933.5,0
24/08/2022,14850,14874.7002,14796.2998,14850,0
25/08/2022,14845,14845,14766.09961,14845,0
26/08/2022,14773,14823.2998,14742.5,14773,0
29/08/2022,14811,14909.90039,14811,14811,0
30/08/2022,14895,14895,14812.57031,14895,0
